candidate_name	family	module_variant	region_mode	top_window_k	beta_region	beta_repeat	beta_hairpin	top_k	universe_genes	truth_genes	overlap	precision	recall	expected_random	fold_enrichment	hypergeom_pvalue
rbp_trace_v2_score_region__explicit__k_3__beta_0.0	region		explicit	3	0.0			200	55382	283	16	0.08	0.05653710247349823	1.0219927052110793	15.655689045936397	1.029793422698481e-14
rbp_trace_v2_score_region__explicit__k_3__beta_0.0	region		explicit	3	0.0			500	55382	283	28	0.056	0.0989399293286219	2.5549817630276985	10.958982332155477	1.1884176030787299e-20
rbp_trace_v2_score_region__explicit__k_3__beta_0.0	region		explicit	3	0.0			1000	55382	283	48	0.048	0.1696113074204947	5.109963526055397	9.393413427561837	7.037724790867853e-32
rbp_trace_v2_score_region__inferred__k_3__beta_0.0	region		inferred	3	0.0			50	55382	283	4	0.08	0.014134275618374558	0.25549817630276983	15.655689045936397	0.00012775212668203554
rbp_trace_v2_score_region__inferred__k_3__beta_0.0	region		inferred	3	0.0			100	55382	283	8	0.08	0.028268551236749116	0.5109963526055397	15.655689045936397	5.217754481474298e-08
rbp_trace_v2_score_region__inferred__k_3__beta_0.0	region		inferred	3	0.0			200	55382	283	16	0.08	0.05653710247349823	1.0219927052110793	15.655689045936397	1.029793422698481e-14
rbp_trace_v2_score_region__inferred__k_3__beta_0.0	region		inferred	3	0.0			500	55382	283	28	0.056	0.0989399293286219	2.5549817630276985	10.958982332155477	1.1884176030787299e-20
rbp_trace_v2_score_region__inferred__k_3__beta_0.0	region		inferred	3	0.0			1000	55382	283	48	0.048	0.1696113074204947	5.109963526055397	9.393413427561837	7.037724790867853e-32
rbp_trace_v2_score_repeat__self_complementarity__k_3__beta_0.0	self_complementarity	self_complementarity		3		0.0		50	55382	283	4	0.08	0.014134275618374558	0.25549817630276983	15.655689045936397	0.00012775212668203554
rbp_trace_v2_score_repeat__self_complementarity__k_3__beta_0.0	self_complementarity	self_complementarity		3		0.0		100	55382	283	8	0.08	0.028268551236749116	0.5109963526055397	15.655689045936397	5.217754481474298e-08
rbp_trace_v2_score_repeat__self_complementarity__k_3__beta_0.0	self_complementarity	self_complementarity		3		0.0		200	55382	283	16	0.08	0.05653710247349823	1.0219927052110793	15.655689045936397	1.029793422698481e-14
rbp_trace_v2_score_repeat__self_complementarity__k_3__beta_0.0	self_complementarity	self_complementarity		3		0.0		500	55382	283	28	0.056	0.0989399293286219	2.5549817630276985	10.958982332155477	1.1884176030787299e-20
rbp_trace_v2_score_repeat__self_complementarity__k_3__beta_0.0	self_complementarity	self_complementarity		3		0.0		1000	55382	283	48	0.048	0.1696113074204947	5.109963526055397	9.393413427561837	7.037724790867853e-32
rbp_trace_v2_score_repeat__inverted_repeat__k_3__beta_0.0	self_complementarity	inverted_repeat		3		0.0		50	55382	283	4	0.08	0.014134275618374558	0.25549817630276983	15.655689045936397	0.00012775212668203554
rbp_trace_v2_score_repeat__inverted_repeat__k_3__beta_0.0	self_complementarity	inverted_repeat		3		0.0		100	55382	283	8	0.08	0.028268551236749116	0.5109963526055397	15.655689045936397	5.217754481474298e-08
rbp_trace_v2_score_repeat__inverted_repeat__k_3__beta_0.0	self_complementarity	inverted_repeat		3		0.0		200	55382	283	16	0.08	0.05653710247349823	1.0219927052110793	15.655689045936397	1.029793422698481e-14
rbp_trace_v2_score_repeat__inverted_repeat__k_3__beta_0.0	self_complementarity	inverted_repeat		3		0.0		500	55382	283	28	0.056	0.0989399293286219	2.5549817630276985	10.958982332155477	1.1884176030787299e-20
rbp_trace_v2_score_repeat__inverted_repeat__k_3__beta_0.0	self_complementarity	inverted_repeat		3		0.0		1000	55382	283	48	0.048	0.1696113074204947	5.109963526055397	9.393413427561837	7.037724790867853e-32
rbp_trace_v2_score_repeat__minus_simple_repeat_penalty__k_3__beta_0.0	self_complementarity	minus_simple_repeat_penalty		3		0.0		50	55382	283	4	0.08	0.014134275618374558	0.25549817630276983	15.655689045936397	0.00012775212668203554
rbp_trace_v2_score_repeat__minus_simple_repeat_penalty__k_3__beta_0.0	self_complementarity	minus_simple_repeat_penalty		3		0.0		100	55382	283	8	0.08	0.028268551236749116	0.5109963526055397	15.655689045936397	5.217754481474298e-08
