seed	label	split_name	top_k	universe_genes	truth_genes	overlap	precision	recall	expected_random	fold_enrichment	hypergeom_pvalue	score_variant
1889382247	B_branch_score	heldout	500	55382	85	10	0.02	0.11764705882352941	0.7673973493192734	13.031058823529412	5.621894708032004e-09	B_branch_score
1889382247	B_branch_score	heldout	1000	55382	85	12	0.012	0.1411764705882353	1.5347946986385468	7.818635294117647	4.4219732872074625e-08	B_branch_score
1889382247	final_score_max	heldout	50	55382	85	2	0.04	0.023529411764705882	0.07673973493192734	26.062117647058823	0.002718446297612528	final_score_max
1889382247	final_score_max	heldout	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047	final_score_max
1889382247	final_score_max	heldout	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05	final_score_max
1889382247	final_score_max	heldout	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06	final_score_max
1889382247	final_score_max	heldout	1000	55382	85	15	0.015	0.17647058823529413	1.5347946986385468	9.773294117647058	3.539891612987571e-11	final_score_max
1889382247	final_score_0.7A_0.3B	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	final_score_0.7A_0.3B
1889382247	final_score_0.7A_0.3B	heldout	100	55382	85	3	0.03	0.03529411764705882	0.1534794698638547	19.546588235294116	0.0005066767547709261	final_score_0.7A_0.3B
1889382247	final_score_0.7A_0.3B	heldout	200	55382	85	4	0.02	0.047058823529411764	0.3069589397277094	13.031058823529412	0.00026585296744680183	final_score_0.7A_0.3B
1889382247	final_score_0.7A_0.3B	heldout	500	55382	85	7	0.014	0.08235294117647059	0.7673973493192734	9.121741176470588	1.2608221543409588e-05	final_score_0.7A_0.3B
1889382247	final_score_0.7A_0.3B	heldout	1000	55382	85	14	0.014	0.16470588235294117	1.5347946986385468	9.121741176470588	4.148628118290772e-10	final_score_0.7A_0.3B
1889382247	final_score_0.5A_0.5B	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	final_score_0.5A_0.5B
1889382247	final_score_0.5A_0.5B	heldout	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047	final_score_0.5A_0.5B
1889382247	final_score_0.5A_0.5B	heldout	200	55382	85	6	0.03	0.07058823529411765	0.3069589397277094	19.546588235294116	7.096701621300616e-07	final_score_0.5A_0.5B
1889382247	final_score_0.5A_0.5B	heldout	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06	final_score_0.5A_0.5B
1889382247	final_score_0.5A_0.5B	heldout	1000	55382	85	13	0.013	0.15294117647058825	1.5347946986385468	8.470188235294119	4.474962031553135e-09	final_score_0.5A_0.5B
1889382247	final_score_0.3A_0.7B	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	final_score_0.3A_0.7B
1889382247	final_score_0.3A_0.7B	heldout	100	55382	85	3	0.03	0.03529411764705882	0.1534794698638547	19.546588235294116	0.0005066767547709261	final_score_0.3A_0.7B
1889382247	final_score_0.3A_0.7B	heldout	200	55382	85	6	0.03	0.07058823529411765	0.3069589397277094	19.546588235294116	7.096701621300616e-07	final_score_0.3A_0.7B
1889382247	final_score_0.3A_0.7B	heldout	500	55382	85	10	0.02	0.11764705882352941	0.7673973493192734	13.031058823529412	5.621894708032004e-09	final_score_0.3A_0.7B
1889382247	final_score_0.3A_0.7B	heldout	1000	55382	85	13	0.013	0.15294117647058825	1.5347946986385468	8.470188235294119	4.474962031553135e-09	final_score_0.3A_0.7B
