seed	candidate_name	top200_overlap	top200_fold_enrichment	top200_hypergeom_pvalue	top500_overlap	top500_hypergeom_pvalue
336362904	rbp_trace_v2_score_all_context__beta_region_0.25__beta_repeat_0.5__beta_hairpin_1.0	13	18.180959595959596	5.156837834697902e-13	19	3.369443414552566e-14
336362904	rbp_trace_v2_score_all_context__beta_region_0.25__beta_repeat_1.0__beta_hairpin_0.1	6	8.39121212121212	8.975945120187941e-05	13	3.850323107076825e-08
336362904	rbp_trace_v2_score_all_context__beta_region_0.25__beta_repeat_1.0__beta_hairpin_0.25	8	11.188282828282828	7.102170742175267e-07	13	3.850323107076825e-08
336362904	rbp_trace_v2_score_all_context__beta_region_0.25__beta_repeat_1.0__beta_hairpin_0.5	9	12.586818181818181	5.190545154851394e-08	16	4.882974508817255e-11
336362904	rbp_trace_v2_score_all_context__beta_region_0.25__beta_repeat_1.0__beta_hairpin_1.0	10	13.985353535353536	3.3837043464144284e-09	17	4.595856023183095e-12
336362904	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.1__beta_hairpin_0.1	12	16.78242424242424	1.058738683901139e-11	23	9.140100293996939e-19
336362904	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.1__beta_hairpin_0.25	13	18.180959595959596	5.156837834697902e-13	24	5.792402431394479e-20
336362904	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.1__beta_hairpin_0.5	15	20.9780303030303	9.54783311296878e-16	23	9.140100293996939e-19
336362904	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.1__beta_hairpin_1.0	15	20.9780303030303	9.54783311296878e-16	21	1.9547727806466843e-16
336362904	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.25__beta_hairpin_0.1	9	12.586818181818181	5.190545154851394e-08	21	1.9547727806466843e-16
336362904	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.25__beta_hairpin_0.25	11	15.383888888888889	1.9865406411345842e-10	28	5.843070877549937e-25
336362904	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.25__beta_hairpin_0.5	13	18.180959595959596	5.156837834697902e-13	23	9.140100293996939e-19
336362904	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.25__beta_hairpin_1.0	15	20.9780303030303	9.54783311296878e-16	21	1.9547727806466843e-16
336362904	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.5__beta_hairpin_0.1	9	12.586818181818181	5.190545154851394e-08	16	4.882974508817255e-11
336362904	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.5__beta_hairpin_0.25	10	13.985353535353536	3.3837043464144284e-09	19	3.369443414552566e-14
336362904	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.5__beta_hairpin_0.5	11	15.383888888888889	1.9865406411345842e-10	23	9.140100293996939e-19
336362904	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.5__beta_hairpin_1.0	13	18.180959595959596	5.156837834697902e-13	20	2.6393664570210143e-15
336362904	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_1.0__beta_hairpin_0.1	7	9.789747474747475	8.56673938739102e-06	13	3.850323107076825e-08
336362904	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_1.0__beta_hairpin_0.25	8	11.188282828282828	7.102170742175267e-07	13	3.850323107076825e-08
336362904	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_1.0__beta_hairpin_0.5	9	12.586818181818181	5.190545154851394e-08	16	4.882974508817255e-11
336362904	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_1.0__beta_hairpin_1.0	10	13.985353535353536	3.3837043464144284e-09	18	4.0572419425987673e-13
336362904	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.1__beta_hairpin_0.1	11	15.383888888888889	1.9865406411345842e-10	21	1.9547727806466843e-16
336362904	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.1__beta_hairpin_0.25	13	18.180959595959596	5.156837834697902e-13	24	5.792402431394479e-20
336362904	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.1__beta_hairpin_0.5	15	20.9780303030303	9.54783311296878e-16	23	9.140100293996939e-19
336362904	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.1__beta_hairpin_1.0	15	20.9780303030303	9.54783311296878e-16	23	9.140100293996939e-19
336362904	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.25__beta_hairpin_0.1	10	13.985353535353536	3.3837043464144284e-09	22	1.3718066144429168e-17
336362904	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.25__beta_hairpin_0.25	12	16.78242424242424	1.058738683901139e-11	27	1.1092721286605223e-23
336362904	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.25__beta_hairpin_0.5	13	18.180959595959596	5.156837834697902e-13	23	9.140100293996939e-19
336362904	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.25__beta_hairpin_1.0	15	20.9780303030303	9.54783311296878e-16	21	1.9547727806466843e-16
